id,country,admin_region,total_population,infected,zombified,mutants,deaths,missing,ut_forces,date,latitude,longitude
47,Japan,Akita_Pref,7430172,3465898,1627264,325911,299295,118366,163592,1998-12-14,-2.265945629067376,2.5379745781799965
48,Canada,Ottawa,363300,118571,88072,7619,10535,1389,5403,1998-11-04,1.480608918212311,-1.9217980547608868
49,Australia,Perth,90671,34081,23154,907,4843,3039,1159,1998-08-29,-2.3821152566781127,0.315955519096403
50,Canada,Toronto,170171,73683,45376,5489,10143,1481,2734,1998-09-26,-2.097557183413056,-0.6387742714220199
51,France,Paris_District,985749,168637,131662,14850,22096,16953,2190,1999-04-17,1.1184999132560782,0.2466954433440331
52,Japan,Osaka,10372904,4796272,3196635,164359,699158,96490,216276,1999-03-01,1.5102506162201896,-3.245233909150882
53,UK,Manchester,1363710,773805,380599,34690,61049,58328,25635,1998-06-26,-0.1633074596956526,5.456915438611025
54,Russia,Siberia_Zone,136833,3453,1749,58,668,375,544,1999-04-06,61.0137,99.1967
55,Brazil,Brasilia,45888,32484,15255,2445,4647,1696,2287,1998-11-05,-0.4958311887247957,4.486676700154028
56,Taiwan,Hualien_County,3863,2061,1554,154,240,255,629,1999-04-22,2.595969444828932,-2.4187338956450457
57,USA,Raccoon_City,124401,13068,6711,775,1753,772,1167,1998-06-07,38.8333,-97.5333
58,UK,Manchester,21051,16855,13178,749,2169,2208,294,1998-11-17,-0.1633074596956526,5.456915438611025
59,Japan,Kyoto,1039822,491251,286247,35472,91028,29953,11657,1998-12-15,-0.6353533556324394,-4.121988575775276
60,Brazil,Rio_de_Janeiro,98774,39976,29792,3990,5902,2524,2147,1999-05-21,1.69863980297128,-0.1445188229842225
61,UK,Manchester,1139016,415302,239496,19247,65882,15914,7617,1998-09-08,-0.1633074596956526,5.456915438611025
62,Japan,Okinawa,24525394,18289498,14322599,1323982,2889971,1232388,837042,1998-10-18,-0.7058126639679835,7.705785461881211
63,Germany,Berlin,125936,9803,7007,817,1205,1307,612,1999-03-26,52.52,13.405
64,Germany,Munich,225876,151441,117342,14351,23649,6976,7062,1998-06-04,1.3304192527089729,0.9162062377984492
65,Canada,Vancouver,337194,204216,149158,12388,29829,9823,6843,1998-11-17,1.763269541791821,-1.335127450431743
66,UK,Manchester,93009,37463,25029,2606,2959,4084,2343,1998-10-15,-0.1633074596956526,5.456915438611025
67,Germany,Frankfurt,205773,185988,141022,5662,25238,24480,6577,1999-05-16,-4.724921723598893,2.452041664770111
68,Japan,Hokkaido,81309,42576,18724,768,2337,5838,1199,1999-01-01,0.8748241824825881,-0.4771821068560608
69,Canada,Montreal,2461147,1393981,793153,128206,127911,150690,50350,1998-12-10,3.577033218814007,0.0643706388332788
70,Japan,Tokyo,106255,77055,44723,6031,8124,8473,3258,1999-04-06,35.6895,139.6917
71,Canada,Montreal,13899,8262,6131,738,447,666,687,1998-06-27,3.577033218814007,0.0643706388332788
72,UK,Edinburgh,16413,13145,8131,284,2608,1204,560,1999-02-14,0.6060610566215301,-4.154607930958573
73,Brazil,Sao_Paulo,30756,6712,4108,334,794,897,1054,1998-05-25,-23.5505,-46.6333
74,Russia,Siberia_Zone,66943,49984,25602,3601,8839,3314,2642,1998-06-01,61.0137,99.1967
75,Australia,Brisbane,937459,57504,35554,5649,8002,3675,2421,1998-08-18,-0.8665823898368763,9.314114221014716
76,Brazil,Rio_de_Janeiro,826400,536666,410553,22570,72958,32297,13342,1998-08-09,1.69863980297128,-0.1445188229842225
77,France,Bordeaux,976918,914530,655726,80902,51050,105309,15750,1998-09-27,1.1704801824038549,-1.967857959836668
78,Japan,Kyoto,168849,110314,76913,10534,10906,15927,1481,1999-05-18,-0.6353533556324394,-4.121988575775276
79,France,Bordeaux,1187584,372673,252302,17471,42922,20069,5012,1999-04-10,1.1704801824038549,-1.967857959836668
80,Brazil,Amazon_Region,100227,48279,27165,4027,7697,1578,1553,1998-11-09,-1.93727713348161,-3.219104847382798
81,Canada,Toronto,4646,4382,3149,79,355,356,107,1998-08-17,-2.097557183413056,-0.6387742714220199
82,Australia,Melbourne,1085474,494414,261182,36453,80942,20412,10468,1999-04-21,2.2429425392786246,-0.2182463403309512
83,Australia,Sydney,41838,31320,23076,1625,4800,3791,1709,1999-02-01,-33.8688,151.2093
84,USA,Arklay_County,106054,18455,14494,272,1274,1237,890,1998-12-19,2.441439224449056,-2.9081933913488074
85,Australia,Brisbane,79244,63313,33600,5128,8263,8729,2152,1998-05-21,-0.8665823898368763,9.314114221014716
86,Russia,Saint_Petersburg,463031,77953,53950,5288,9318,9670,2998,1999-05-08,1.7025554541757133,0.217036944873728
87,Australia,Sydney,224177,211615,159800,10713,23781,22902,9919,1999-01-07,-33.8688,151.2093
88,Brazil,Rio_de_Janeiro,103421,10683,6549,342,1258,279,234,1998-05-14,1.69863980297128,-0.1445188229842225
89,USA,Texas,3985078,1447258,1036290,90967,129945,186825,43858,1998-12-01,-0.3616082962495004,-1.7712103761382976
90,Brazil,Brasilia,136232,90942,58417,2344,14427,11385,4758,1998-05-24,-0.4958311887247957,4.486676700154028
91,Brazil,Rio_de_Janeiro,101824,72105,53741,1380,13581,4522,2799,1998-05-20,1.69863980297128,-0.1445188229842225
92,Antarctica,Rockfort_Island,819429,239025,179903,14885,38833,27976,7661,1998-11-18,-67.6167,62.8667
93,Taiwan,Taipei_City,1681491,956097,629638,26566,116772,137566,32943,1999-03-17,1.6582573663341151,2.124440670053682
94,USA,Illinois,967403,79050,39788,6430,5835,7306,2206,1998-06-21,-0.1071992535331094,-2.5699940756529567
95,Brazil,Rio_de_Janeiro,49737,1738,1121,30,262,217,520,1999-04-22,1.69863980297128,-0.1445188229842225
96,Taiwan,Hualien_County,339858,44669,23116,1150,4754,4747,1092,1998-11-02,2.595969444828932,-2.4187338956450457
97,Taiwan,Tainan_City,193366,73023,29851,5671,8233,4436,2339,1998-11-23,-1.3817801379542258,-6.823508848071515
98,USA,Texas,110970,51576,41103,4508,5864,2244,2099,1999-04-25,-0.3616082962495004,-1.7712103761382976
99,Antarctica,Base_Omega,25611,2433,1403,83,414,289,281,1998-08-03,1.3325999520384384,-2.381827186590709
100,France,Bordeaux,253390,105980,61895,2073,15469,5423,1827,1999-04-13,1.1704801824038549,-1.967857959836668
101,Canada,Ottawa,1433367,1240000,767670,46349,113455,165687,56073,1999-01-21,1.480608918212311,-1.9217980547608868
102,Russia,Saint_Petersburg,4237446,2394012,1682151,50581,340612,102759,74490,1999-03-22,1.7025554541757133,0.217036944873728
103,Canada,Montreal,1634379,479315,336941,10448,89068,12140,10608,1998-05-15,3.577033218814007,0.0643706388332788
104,Australia,Melbourne,66808,11994,7450,867,1174,836,1470,1998-10-22,2.2429425392786246,-0.2182463403309512
105,Russia,Saint_Petersburg,25691,12519,9078,924,1019,960,810,1998-12-05,1.7025554541757133,0.217036944873728
106,Australia,Perth,8718,1994,966,181,248,43,925,1998-05-10,-2.3821152566781127,0.315955519096403
107,Brazil,Sao_Paulo,1342140,1201900,888843,90644,203636,97040,50594,1998-05-19,-23.5505,-46.6333
108,Japan,Kyoto,844289,263202,117730,6655,13902,13547,6226,1998-07-07,-0.6353533556324394,-4.121988575775276
109,USA,California,54193,2373,1571,187,289,275,379,1999-02-02,-3.768367786224215,-7.269105964257913
110,Russia,Siberia_Zone,36243,26987,10899,1719,2196,2744,1470,1999-03-15,61.0137,99.1967
111,Russia,Saint_Petersburg,2056792,1546814,1230469,98700,198851,133832,49292,1999-02-18,1.7025554541757133,0.217036944873728
112,Brazil,Amazon_Region,1141300,965278,634893,48854,181376,111405,26484,1998-05-15,-1.93727713348161,-3.219104847382798
113,France,Bordeaux,2158704,1680385,1289623,37256,204911,249294,43500,1999-03-22,1.1704801824038549,-1.967857959836668
114,Taiwan,Kaohsiung_City,500617,141629,88708,12964,19444,3523,3289,1998-08-22,-1.4187478369460782,0.4236305691145081
115,Brazil,Amazon_Region,593521,429781,342893,4479,53351,40568,15997,1999-02-24,-1.93727713348161,-3.219104847382798
116,Germany,Hamburg,3145,2564,1576,126,435,316,906,1998-10-05,-3.9938192044018974,-2.733540311293427
117,Antarctica,Rockfort_Island,77497,62258,35352,1835,4841,4060,1110,1998-08-12,-67.6167,62.8667
118,Taiwan,Tainan_City,9304361,4023688,2827255,112900,690641,184379,72347,1999-02-04,-1.3817801379542258,-6.823508848071515
119,USA,Florida,52767,35237,15563,2069,2843,1332,1552,1998-07-25,0.0736648847716987,-8.521986977221632
120,Taiwan,Hualien_County,252564,223063,112461,4452,31988,16842,6418,1998-08-02,2.595969444828932,-2.4187338956450457
121,France,Marseille,3669172,2181908,1364112,30639,139827,239956,40499,1998-10-21,3.0758159318117744,0.8224238495790386
122,Taiwan,Taipei_City,936479,286754,161153,17986,49909,14481,3682,1999-05-23,1.6582573663341151,2.124440670053682
123,USA,Texas,24103,1871,1114,122,206,214,720,1998-12-28,-0.3616082962495004,-1.7712103761382976
124,France,Marseille,16051,1719,1274,32,305,187,780,1999-01-17,3.0758159318117744,0.8224238495790386
125,Canada,Montreal,4071414,1860234,889998,45696,182543,37177,77308,1999-02-18,3.577033218814007,0.0643706388332788
126,Russia,Vladivostok,717370,412521,183486,8912,65837,44213,10047,1999-02-06,43.1155,131.8853
127,Russia,Vladivostok,331653,56707,33294,4992,3606,8481,1250,1998-09-24,43.1155,131.8853
128,Antarctica,Base_Omega,445141,79707,38851,6906,15724,7971,3148,1998-05-02,1.3325999520384384,-2.381827186590709
129,Australia,Perth,78213,8699,3543,320,1379,1004,1034,1998-07-07,-2.3821152566781127,0.315955519096403
130,Canada,Vancouver,27914,8461,5807,503,1561,195,362,1998-07-08,1.763269541791821,-1.335127450431743
131,Canada,Ottawa,392883,216294,123597,16320,17300,15664,7506,1998-06-16,1.480608918212311,-1.9217980547608868
132,Taiwan,Taipei_City,49376,32178,22085,3115,2189,3327,2138,1999-04-20,1.6582573663341151,2.124440670053682
133,Russia,Moscow,50410,43620,21038,823,8392,3711,791,1998-07-03,-3.1270639264667555,0.5501745696793509
134,USA,Raccoon_City,78678,44628,23252,3550,5680,4562,945,1998-07-19,38.8333,-97.5333
135,UK,London_City,781324,172146,113796,4651,29532,13307,8464,1999-01-09,51.5074,-0.1278
136,UK,Birmingham,40457,27967,18709,2734,5014,3663,1323,1998-12-23,-2.8500477535126296,3.283220170509705
137,France,Marseille,33963,28821,20151,2093,1948,2350,2382,1999-03-25,3.0758159318117744,0.8224238495790386
138,Russia,Moscow,24904,4983,2200,359,654,83,168,1998-09-16,-3.1270639264667555,0.5501745696793509
139,Russia,Saint_Petersburg,120313,88438,64511,2647,17674,7556,2948,1999-01-19,1.7025554541757133,0.217036944873728
140,Antarctica,Base_Echo,1229215,942500,598992,45784,49231,21376,25178,1999-03-12,-2.0507635900375054,3.689084456104984
141,UK,Edinburgh,122135,35633,15957,580,3914,470,2419,1998-10-01,0.6060610566215301,-4.154607930958573
142,Russia,Siberia_Zone,164098,78052,44913,818,4244,5763,1907,1998-09-09,61.0137,99.1967
143,Antarctica,Base_Echo,238479,94204,51943,3132,16085,3933,4820,1998-12-12,-2.0507635900375054,3.689084456104984
144,Taiwan,Tainan_City,84626,20197,9460,1815,1652,1117,707,1998-07-31,-1.3817801379542258,-6.823508848071515
145,Germany,Berlin,26890,13180,9864,590,2109,1377,1308,1998-08-26,52.52,13.405
146,Japan,Hokkaido,69063,57385,35688,2550,9371,7688,1417,1998-09-03,0.8748241824825881,-0.4771821068560608
147,Canada,Montreal,52834,3622,2111,73,221,107,1012,1999-05-10,3.577033218814007,0.0643706388332788
148,Australia,Melbourne,136775,118441,55422,3148,17134,14308,4041,1998-12-13,2.2429425392786246,-0.2182463403309512
149,France,Paris_District,66425,3551,2280,267,208,129,766,1999-04-04,1.1184999132560782,0.2466954433440331
150,Germany,Hamburg,255935,108614,48779,5681,6189,13810,1657,1998-10-26,-3.9938192044018974,-2.733540311293427
151,UK,Birmingham,130484,3426,2094,56,201,445,747,1998-07-24,-2.8500477535126296,3.283220170509705
152,Antarctica,Base_Omega,47302,32497,17120,1763,1950,4556,1725,1998-10-11,1.3325999520384384,-2.381827186590709
153,Canada,Montreal,2991855,323639,204292,29541,28283,37103,10900,1998-12-16,3.577033218814007,0.0643706388332788
154,Russia,Vladivostok,425811,337944,227194,16082,55125,24611,11699,1998-11-22,43.1155,131.8853
155,Australia,Perth,107821,92020,71673,2256,8254,4491,2008,1998-08-12,-2.3821152566781127,0.315955519096403
156,Russia,Vladivostok,55683,21361,13770,624,3115,2478,1693,1998-08-22,43.1155,131.8853
157,USA,New_York,1013095,948910,507841,67488,120203,105022,28232,1998-11-04,40.7128,-74.006
158,USA,Florida,29192,11037,8113,543,1805,162,736,1999-01-26,0.0736648847716987,-8.521986977221632
159,Australia,Perth,2697348,1173485,788819,68411,128421,115077,45407,1998-06-20,-2.3821152566781127,0.315955519096403
160,Antarctica,Base_Omega,9752,3891,2206,309,711,229,261,1999-03-02,1.3325999520384384,-2.381827186590709
161,Australia,Brisbane,41257133,21365909,9020067,1406211,1160589,1934688,772966,1998-12-08,-0.8665823898368763,9.314114221014716
162,UK,London_City,70479,61579,44841,3364,5675,7499,3098,1998-08-19,51.5074,-0.1278
163,Australia,Brisbane,12629,1305,904,114,127,112,1027,1998-06-24,-0.8665823898368763,9.314114221014716
164,Taiwan,Tainan_City,43195,16212,9498,1525,1481,1710,801,1998-05-12,-1.3817801379542258,-6.823508848071515
165,Russia,Vladivostok,87716,29779,18633,1809,3156,307,1467,1998-11-06,43.1155,131.8853
166,Germany,Frankfurt,53228,5099,3617,456,408,456,474,1999-05-24,-4.724921723598893,2.452041664770111
167,Brazil,Sao_Paulo,332129,244872,144290,4611,46235,20638,6237,1998-10-02,-23.5505,-46.6333
168,Antarctica,Rockfort_Island,288035,38148,25195,1351,3651,4195,1089,1999-03-31,-67.6167,62.8667
169,Australia,Sydney,93214367,4231873,2504688,259296,776926,49802,59196,1999-04-11,-33.8688,151.2093
170,France,Lyon,194262,179681,116748,15122,11002,24203,8324,1999-01-20,0.1225354025007818,2.243434500939372
171,USA,Raccoon_City,11987,7944,4799,106,955,497,745,1999-04-25,38.8333,-97.5333
172,Taiwan,Taipei_City,115749,80273,40573,7094,7767,10033,1725,1998-08-12,1.6582573663341151,2.124440670053682
173,Canada,Toronto,214783,117425,76554,3371,19195,5115,1688,1998-10-10,-2.097557183413056,-0.6387742714220199
174,Brazil,Sao_Paulo,59182,9682,5720,886,546,1343,1354,1998-09-18,-23.5505,-46.6333
175,Antarctica,Base_Omega,587893,298521,151662,14392,49909,3104,9199,1998-12-23,1.3325999520384384,-2.381827186590709
176,Germany,Berlin,757890,559409,418488,20816,107446,82980,20201,1998-06-13,52.52,13.405
177,Brazil,Brasilia,46137,31066,16784,2215,5610,3971,1508,1998-12-25,-0.4958311887247957,4.486676700154028
178,Australia,Brisbane,80928,49371,25959,3830,9183,2528,1570,1998-08-05,-0.8665823898368763,9.314114221014716
179,UK,London_City,4094,323,135,7,61,43,683,1998-08-06,51.5074,-0.1278
180,USA,Florida,29037,17873,8155,1243,1285,899,1178,1999-05-10,0.0736648847716987,-8.521986977221632
181,USA,Arklay_County,96024,6217,3508,433,935,84,225,1999-03-20,2.441439224449056,-2.9081933913488074
182,Canada,Vancouver,216262,188555,118356,3734,14764,10813,9051,1998-06-22,1.763269541791821,-1.335127450431743
183,UK,Manchester,124733,101240,43254,2415,9761,3244,1520,1998-08-17,-0.1633074596956526,5.456915438611025
184,Russia,Saint_Petersburg,30723,712,454,14,56,87,946,1999-01-12,1.7025554541757133,0.217036944873728
185,Japan,Osaka,1490046,303864,191287,10272,36152,33286,11532,1998-05-11,1.5102506162201896,-3.245233909150882
186,Taiwan,Hualien_County,1221057,660844,277922,56312,115672,80501,25406,1998-10-25,2.595969444828932,-2.4187338956450457
187,USA,Texas,1485179,64760,42933,5160,12577,5123,1829,1999-05-28,-0.3616082962495004,-1.7712103761382976
188,France,Lyon,3616334,3125706,2226089,140652,321525,315343,49249,1999-02-18,0.1225354025007818,2.243434500939372
189,USA,California,23219,19826,13556,1586,1072,1477,1122,1999-05-24,-3.768367786224215,-7.269105964257913
190,Brazil,Amazon_Region,384356,62053,32946,985,5487,7991,2097,1998-05-25,-1.93727713348161,-3.219104847382798
191,USA,Arklay_County,1010061,883386,371231,81800,100775,11719,11221,1998-09-03,2.441439224449056,-2.9081933913488074
192,Antarctica,Rockfort_Island,15291311,10217708,6419396,489764,906745,1357271,428098,1999-01-21,-67.6167,62.8667
193,USA,California,3247486,1426832,959594,136092,260260,15215,65234,1998-09-10,-3.768367786224215,-7.269105964257913
194,Japan,Hokkaido,97957,42796,31733,822,4361,1256,2072,1999-02-02,0.8748241824825881,-0.4771821068560608
195,Japan,Tokyo,7277,2181,901,139,266,290,961,1998-06-11,35.6895,139.6917
196,Germany,Frankfurt,14975,8339,4288,702,1417,898,849,1998-08-09,-4.724921723598893,2.452041664770111
197,Russia,Siberia_Zone,625478,357769,144660,32223,42196,25395,14176,1999-02-08,61.0137,99.1967
198,France,Marseille,184779,30024,16886,969,4263,1371,783,1999-02-01,3.0758159318117744,0.8224238495790386
199,USA,New_York,40845,18796,9290,405,3428,2151,1362,1998-09-16,40.7128,-74.006
200,USA,Arklay_County,3561,376,161,27,61,17,444,1998-12-07,2.441439224449056,-2.9081933913488074
201,Taiwan,Hualien_County,958123,703859,494877,15497,121287,76899,20072,1998-07-08,2.595969444828932,-2.4187338956450457
202,Japan,Kyoto,16725,12637,8320,398,709,275,1103,1999-02-17,-0.6353533556324394,-4.121988575775276
203,France,Lyon,2768967,2251002,1282718,224364,262399,286202,112481,1998-10-24,0.1225354025007818,2.243434500939372
204,Canada,Montreal,22553,991,461,63,94,64,125,1999-05-08,3.577033218814007,0.0643706388332788
205,Germany,Berlin,67388,42677,26451,3862,2399,5705,973,1998-11-13,52.52,13.405
206,Russia,Saint_Petersburg,43390,36108,17721,2488,2549,5119,2466,1998-06-02,1.7025554541757133,0.217036944873728
207,UK,Edinburgh,579044,184831,89749,11215,16742,13388,6877,1999-02-25,0.6060610566215301,-4.154607930958573
208,Russia,Siberia_Zone,42999,32373,19013,2108,3077,4424,1676,1998-12-14,61.0137,99.1967
209,Antarctica,Rockfort_Island,107158,688,340,66,83,37,254,1998-09-13,-67.6167,62.8667
210,Brazil,Brasilia,81381,51461,31684,5012,10030,5051,1901,1999-05-07,-0.4958311887247957,4.486676700154028
211,Antarctica,Base_Echo,28585,6557,2723,635,809,528,532,1998-09-11,-2.0507635900375054,3.689084456104984
212,USA,New_York,168463,12668,6334,395,2112,1152,1341,1998-09-20,40.7128,-74.006
213,Germany,Munich,276990,131764,89439,2061,12277,7227,2222,1998-12-31,1.3304192527089729,0.9162062377984492
214,Brazil,Sao_Paulo,666706,232592,108351,16944,24685,24364,8962,1998-09-14,-23.5505,-46.6333
215,France,Marseille,552517,313393,203335,16796,57981,4716,10477,1998-06-30,3.0758159318117744,0.8224238495790386
216,UK,Birmingham,684424,556782,227331,50612,95527,6379,12404,1998-06-25,-2.8500477535126296,3.283220170509705
217,Japan,Tokyo,5215,1945,1283,114,142,26,496,1998-09-10,35.6895,139.6917
218,Germany,Berlin,156019,137369,90994,6367,11287,16239,5609,1999-05-17,52.52,13.405
219,Germany,Berlin,27703,7086,3649,272,1014,391,749,1998-11-24,52.52,13.405
220,Antarctica,Base_Echo,166535,123110,84883,2532,6606,11610,4622,1998-09-03,-2.0507635900375054,3.689084456104984
221,USA,California,215541,131259,62269,3995,19859,3470,6992,1998-08-31,-3.768367786224215,-7.269105964257913
222,Australia,Perth,247108,121071,67628,6412,8963,5069,5066,1998-12-17,-2.3821152566781127,0.315955519096403
223,Antarctica,Base_Omega,7078,3025,2306,96,217,419,470,1998-06-04,1.3325999520384384,-2.381827186590709
224,Germany,Munich,19523578,16946865,12025488,1568464,1087328,1709819,357134,1999-01-21,1.3304192527089729,0.9162062377984492
225,Taiwan,Hualien_County,16255250,10018205,7420851,923524,584961,825602,340462,1998-07-30,2.595969444828932,-2.4187338956450457
226,UK,London_City,47344,16273,8976,972,1162,597,1230,1998-05-21,51.5074,-0.1278
227,Antarctica,Base_Echo,18060,9482,7499,241,1676,526,1030,1998-09-17,-2.0507635900375054,3.689084456104984
228,UK,Birmingham,47864245,25087276,16629547,980722,3350099,264202,1148955,1999-01-20,-2.8500477535126296,3.283220170509705
229,Taiwan,Taichung_City,1489985,1241553,497426,99876,214500,149757,57539,1998-08-28,-2.604738557508256,7.177168990234618
230,Canada,Toronto,728246,29459,12651,2090,4638,968,1575,1998-12-07,-2.097557183413056,-0.6387742714220199
231,Taiwan,Kaohsiung_City,14558,6104,4145,472,682,780,1071,1999-05-18,-1.4187478369460782,0.4236305691145081
232,Taiwan,Taichung_City,4087697,1982986,1543354,67990,338147,232908,71630,1998-05-23,-2.604738557508256,7.177168990234618
233,UK,Edinburgh,29146,4232,2950,45,634,302,1015,1998-06-08,0.6060610566215301,-4.154607930958573
234,Russia,Saint_Petersburg,112837,196,119,2,36,25,98,1998-12-21,1.7025554541757133,0.217036944873728
235,UK,Birmingham,2557382,7741,3716,545,743,915,431,1998-12-27,-2.8500477535126296,3.283220170509705
236,Australia,Melbourne,71927,67263,48478,4004,10272,1442,2004,1998-09-05,2.2429425392786246,-0.2182463403309512
237,USA,Raccoon_City,259876,18979,11948,890,1845,1172,507,1998-05-22,38.8333,-97.5333
238,Brazil,Amazon_Region,1706943,147866,69089,11723,17459,15639,6846,1998-06-24,-1.93727713348161,-3.219104847382798
239,Russia,Siberia_Zone,14944,1777,865,160,334,149,117,1999-03-26,61.0137,99.1967
240,Japan,Tokyo,1662670,1561789,865947,139187,219256,214945,77630,1998-06-16,35.6895,139.6917
241,Brazil,Brasilia,4051289,2866962,1555856,221929,223842,255289,120833,1998-12-20,-0.4958311887247957,4.486676700154028
242,USA,Illinois,142326,55340,31130,5526,4692,6752,1941,1998-05-27,-0.1071992535331094,-2.5699940756529567
243,Antarctica,Rockfort_Island,1917581,1798124,1002901,20315,178035,136740,67570,1999-05-19,-67.6167,62.8667
244,Australia,Sydney,34967,18630,13418,585,1346,564,1015,1998-06-17,-33.8688,151.2093
245,Australia,Sydney,8030,6157,3026,500,520,288,1160,1998-10-14,-33.8688,151.2093
246,Japan,Kyoto,3593,261,128,10,38,32,273,1999-01-26,-0.6353533556324394,-4.121988575775276
247,Russia,Moscow,454714,405795,170723,36620,22690,43551,14399,1998-07-20,-3.1270639264667555,0.5501745696793509
