id,country,admin_region,latitude,longitude,total_population,infected,zombified,mutants,deaths,missing,ut_forces,date
108,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,844289,263202,117730,6655,13902,13547,6226,1998-07-07
109,USA,California,-3.768367786224215,-7.269105964257913,54193,2373,1571,187,289,275,379,1999-02-02
110,Russia,Siberia_Zone,61.0137,99.1967,36243,26987,10899,1719,2196,2744,1470,1999-03-15
111,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,2056792,1546814,1230469,98700,198851,133832,49292,1999-02-18
112,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,1141300,965278,634893,48854,181376,111405,26484,1998-05-15
113,France,Bordeaux,1.1704801824038547,-1.9678579598366681,2158704,1680385,1289623,37256,204911,249294,43500,1999-03-22
114,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,500617,141629,88708,12964,19444,3523,3289,1998-08-22
115,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,593521,429781,342893,4479,53351,40568,15997,1999-02-24
116,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,3145,2564,1576,126,435,316,906,1998-10-05
117,Antarctica,Rockfort_Island,-67.6167,62.8667,77497,62258,35352,1835,4841,4060,1110,1998-08-12
118,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,9304361,4023688,2827255,112900,690641,184379,72347,1999-02-04
119,USA,Florida,0.07366488477169875,-8.521986977221632,52767,35237,15563,2069,2843,1332,1552,1998-07-25
120,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,252564,223063,112461,4452,31988,16842,6418,1998-08-02
121,France,Marseille,3.0758159318117744,0.8224238495790386,3669172,2181908,1364112,30639,139827,239956,40499,1998-10-21
122,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,936479,286754,161153,17986,49909,14481,3682,1999-05-23
123,USA,Texas,-0.36160829624950047,-1.7712103761382976,24103,1871,1114,122,206,214,720,1998-12-28
124,France,Marseille,3.0758159318117744,0.8224238495790386,16051,1719,1274,32,305,187,780,1999-01-17
125,Canada,Montreal,3.577033218814007,0.06437063883327881,4071414,1860234,889998,45696,182543,37177,77308,1999-02-18
126,Russia,Vladivostok,43.1155,131.8853,717370,412521,183486,8912,65837,44213,10047,1999-02-06
127,Russia,Vladivostok,43.1155,131.8853,331653,56707,33294,4992,3606,8481,1250,1998-09-24
128,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,445141,79707,38851,6906,15724,7971,3148,1998-05-02
129,Australia,Perth,-2.3821152566781127,0.315955519096403,78213,8699,3543,320,1379,1004,1034,1998-07-07
130,Canada,Vancouver,1.763269541791821,-1.335127450431743,27914,8461,5807,503,1561,195,362,1998-07-08
131,Canada,Ottawa,1.480608918212311,-1.9217980547608868,392883,216294,123597,16320,17300,15664,7506,1998-06-16
132,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,49376,32178,22085,3115,2189,3327,2138,1999-04-20
133,Russia,Moscow,-3.1270639264667555,0.5501745696793509,50410,43620,21038,823,8392,3711,791,1998-07-03
134,USA,Raccoon_City,38.8333,-97.5333,78678,44628,23252,3550,5680,4562,945,1998-07-19
135,UK,London_City,51.5074,-0.1278,781324,172146,113796,4651,29532,13307,8464,1999-01-09
136,UK,Birmingham,-2.8500477535126296,3.2832201705097055,40457,27967,18709,2734,5014,3663,1323,1998-12-23
137,France,Marseille,3.0758159318117744,0.8224238495790386,33963,28821,20151,2093,1948,2350,2382,1999-03-25
138,Russia,Moscow,-3.1270639264667555,0.5501745696793509,24904,4983,2200,359,654,83,168,1998-09-16
139,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,120313,88438,64511,2647,17674,7556,2948,1999-01-19
140,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,1229215,942500,598992,45784,49231,21376,25178,1999-03-12
141,UK,Edinburgh,0.6060610566215301,-4.154607930958573,122135,35633,15957,580,3914,470,2419,1998-10-01
142,Russia,Siberia_Zone,61.0137,99.1967,164098,78052,44913,818,4244,5763,1907,1998-09-09
143,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,238479,94204,51943,3132,16085,3933,4820,1998-12-12
144,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,84626,20197,9460,1815,1652,1117,707,1998-07-31
145,Germany,Berlin,52.52,13.405,26890,13180,9864,590,2109,1377,1308,1998-08-26
146,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,69063,57385,35688,2550,9371,7688,1417,1998-09-03
147,Canada,Montreal,3.577033218814007,0.06437063883327881,52834,3622,2111,73,221,107,1012,1999-05-10
148,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,136775,118441,55422,3148,17134,14308,4041,1998-12-13
149,France,Paris_District,1.1184999132560782,0.24669544334403318,66425,3551,2280,267,208,129,766,1999-04-04
150,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,255935,108614,48779,5681,6189,13810,1657,1998-10-26
151,UK,Birmingham,-2.8500477535126296,3.2832201705097055,130484,3426,2094,56,201,445,747,1998-07-24
152,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,47302,32497,17120,1763,1950,4556,1725,1998-10-11
153,Canada,Montreal,3.577033218814007,0.06437063883327881,2991855,323639,204292,29541,28283,37103,10900,1998-12-16
154,Russia,Vladivostok,43.1155,131.8853,425811,337944,227194,16082,55125,24611,11699,1998-11-22
155,Australia,Perth,-2.3821152566781127,0.315955519096403,107821,92020,71673,2256,8254,4491,2008,1998-08-12
156,Russia,Vladivostok,43.1155,131.8853,55683,21361,13770,624,3115,2478,1693,1998-08-22
157,USA,New_York,40.7128,-74.006,1013095,948910,507841,67488,120203,105022,28232,1998-11-04
158,USA,Florida,0.07366488477169875,-8.521986977221632,29192,11037,8113,543,1805,162,736,1999-01-26
159,Australia,Perth,-2.3821152566781127,0.315955519096403,2697348,1173485,788819,68411,128421,115077,45407,1998-06-20
160,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,9752,3891,2206,309,711,229,261,1999-03-02
161,Australia,Brisbane,-0.8665823898368763,9.314114221014716,41257133,21365909,9020067,1406211,1160589,1934688,772966,1998-12-08
162,UK,London_City,51.5074,-0.1278,70479,61579,44841,3364,5675,7499,3098,1998-08-19
163,Australia,Brisbane,-0.8665823898368763,9.314114221014716,12629,1305,904,114,127,112,1027,1998-06-24
164,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,43195,16212,9498,1525,1481,1710,801,1998-05-12
165,Russia,Vladivostok,43.1155,131.8853,87716,29779,18633,1809,3156,307,1467,1998-11-06
166,Germany,Frankfurt,-4.724921723598893,2.452041664770111,53228,5099,3617,456,408,456,474,1999-05-24
167,Brazil,Sao_Paulo,-23.5505,-46.6333,332129,244872,144290,4611,46235,20638,6237,1998-10-02
168,Antarctica,Rockfort_Island,-67.6167,62.8667,288035,38148,25195,1351,3651,4195,1089,1999-03-31
169,Australia,Sydney,-33.8688,151.2093,93214367,4231873,2504688,259296,776926,49802,59196,1999-04-11
170,France,Lyon,0.12253540250078182,2.243434500939372,194262,179681,116748,15122,11002,24203,8324,1999-01-20
171,USA,Raccoon_City,38.8333,-97.5333,11987,7944,4799,106,955,497,745,1999-04-25
172,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,115749,80273,40573,7094,7767,10033,1725,1998-08-12
173,Canada,Toronto,-2.097557183413056,-0.6387742714220199,214783,117425,76554,3371,19195,5115,1688,1998-10-10
174,Brazil,Sao_Paulo,-23.5505,-46.6333,59182,9682,5720,886,546,1343,1354,1998-09-18
175,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,587893,298521,151662,14392,49909,3104,9199,1998-12-23
176,Germany,Berlin,52.52,13.405,757890,559409,418488,20816,107446,82980,20201,1998-06-13
177,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,46137,31066,16784,2215,5610,3971,1508,1998-12-25
178,Australia,Brisbane,-0.8665823898368763,9.314114221014716,80928,49371,25959,3830,9183,2528,1570,1998-08-05
179,UK,London_City,51.5074,-0.1278,4094,323,135,7,61,43,683,1998-08-06
180,USA,Florida,0.07366488477169875,-8.521986977221632,29037,17873,8155,1243,1285,899,1178,1999-05-10
181,USA,Arklay_County,2.441439224449056,-2.9081933913488074,96024,6217,3508,433,935,84,225,1999-03-20
182,Canada,Vancouver,1.763269541791821,-1.335127450431743,216262,188555,118356,3734,14764,10813,9051,1998-06-22
183,UK,Manchester,-0.16330745969565263,5.456915438611025,124733,101240,43254,2415,9761,3244,1520,1998-08-17
184,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,30723,712,454,14,56,87,946,1999-01-12
185,Japan,Osaka,1.5102506162201896,-3.245233909150882,1490046,303864,191287,10272,36152,33286,11532,1998-05-11
186,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,1221057,660844,277922,56312,115672,80501,25406,1998-10-25
187,USA,Texas,-0.36160829624950047,-1.7712103761382976,1485179,64760,42933,5160,12577,5123,1829,1999-05-28
188,France,Lyon,0.12253540250078182,2.243434500939372,3616334,3125706,2226089,140652,321525,315343,49249,1999-02-18
189,USA,California,-3.768367786224215,-7.269105964257913,23219,19826,13556,1586,1072,1477,1122,1999-05-24
190,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,384356,62053,32946,985,5487,7991,2097,1998-05-25
191,USA,Arklay_County,2.441439224449056,-2.9081933913488074,1010061,883386,371231,81800,100775,11719,11221,1998-09-03
192,Antarctica,Rockfort_Island,-67.6167,62.8667,15291311,10217708,6419396,489764,906745,1357271,428098,1999-01-21
193,USA,California,-3.768367786224215,-7.269105964257913,3247486,1426832,959594,136092,260260,15215,65234,1998-09-10
194,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,97957,42796,31733,822,4361,1256,2072,1999-02-02
195,Japan,Tokyo,35.6895,139.6917,7277,2181,901,139,266,290,961,1998-06-11
196,Germany,Frankfurt,-4.724921723598893,2.452041664770111,14975,8339,4288,702,1417,898,849,1998-08-09
197,Russia,Siberia_Zone,61.0137,99.1967,625478,357769,144660,32223,42196,25395,14176,1999-02-08
198,France,Marseille,3.0758159318117744,0.8224238495790386,184779,30024,16886,969,4263,1371,783,1999-02-01
199,USA,New_York,40.7128,-74.006,40845,18796,9290,405,3428,2151,1362,1998-09-16
200,USA,Arklay_County,2.441439224449056,-2.9081933913488074,3561,376,161,27,61,17,444,1998-12-07
201,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,958123,703859,494877,15497,121287,76899,20072,1998-07-08
202,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,16725,12637,8320,398,709,275,1103,1999-02-17
203,France,Lyon,0.12253540250078182,2.243434500939372,2768967,2251002,1282718,224364,262399,286202,112481,1998-10-24
204,Canada,Montreal,3.577033218814007,0.06437063883327881,22553,991,461,63,94,64,125,1999-05-08
205,Germany,Berlin,52.52,13.405,67388,42677,26451,3862,2399,5705,973,1998-11-13
206,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,43390,36108,17721,2488,2549,5119,2466,1998-06-02
207,UK,Edinburgh,0.6060610566215301,-4.154607930958573,579044,184831,89749,11215,16742,13388,6877,1999-02-25
208,Russia,Siberia_Zone,61.0137,99.1967,42999,32373,19013,2108,3077,4424,1676,1998-12-14
209,Antarctica,Rockfort_Island,-67.6167,62.8667,107158,688,340,66,83,37,254,1998-09-13
210,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,81381,51461,31684,5012,10030,5051,1901,1999-05-07
211,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,28585,6557,2723,635,809,528,532,1998-09-11
212,USA,New_York,40.7128,-74.006,168463,12668,6334,395,2112,1152,1341,1998-09-20
213,Germany,Munich,1.3304192527089729,0.9162062377984493,276990,131764,89439,2061,12277,7227,2222,1998-12-31
214,Brazil,Sao_Paulo,-23.5505,-46.6333,666706,232592,108351,16944,24685,24364,8962,1998-09-14
215,France,Marseille,3.0758159318117744,0.8224238495790386,552517,313393,203335,16796,57981,4716,10477,1998-06-30
216,UK,Birmingham,-2.8500477535126296,3.2832201705097055,684424,556782,227331,50612,95527,6379,12404,1998-06-25
217,Japan,Tokyo,35.6895,139.6917,5215,1945,1283,114,142,26,496,1998-09-10
218,Germany,Berlin,52.52,13.405,156019,137369,90994,6367,11287,16239,5609,1999-05-17
219,Germany,Berlin,52.52,13.405,27703,7086,3649,272,1014,391,749,1998-11-24
220,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,166535,123110,84883,2532,6606,11610,4622,1998-09-03
221,USA,California,-3.768367786224215,-7.269105964257913,215541,131259,62269,3995,19859,3470,6992,1998-08-31
222,Australia,Perth,-2.3821152566781127,0.315955519096403,247108,121071,67628,6412,8963,5069,5066,1998-12-17
223,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,7078,3025,2306,96,217,419,470,1998-06-04
224,Germany,Munich,1.3304192527089729,0.9162062377984493,19523578,16946865,12025488,1568464,1087328,1709819,357134,1999-01-21
225,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,16255250,10018205,7420851,923524,584961,825602,340462,1998-07-30
226,UK,London_City,51.5074,-0.1278,47344,16273,8976,972,1162,597,1230,1998-05-21
227,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,18060,9482,7499,241,1676,526,1030,1998-09-17
228,UK,Birmingham,-2.8500477535126296,3.2832201705097055,47864245,25087276,16629547,980722,3350099,264202,1148955,1999-01-20
229,Taiwan,Taichung_City,-2.6047385575082553,7.177168990234618,1489985,1241553,497426,99876,214500,149757,57539,1998-08-28
230,Canada,Toronto,-2.097557183413056,-0.6387742714220199,728246,29459,12651,2090,4638,968,1575,1998-12-07
231,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,14558,6104,4145,472,682,780,1071,1999-05-18
232,Taiwan,Taichung_City,-2.6047385575082553,7.177168990234618,4087697,1982986,1543354,67990,338147,232908,71630,1998-05-23
233,UK,Edinburgh,0.6060610566215301,-4.154607930958573,29146,4232,2950,45,634,302,1015,1998-06-08
234,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,112837,196,119,2,36,25,98,1998-12-21
235,UK,Birmingham,-2.8500477535126296,3.2832201705097055,2557382,7741,3716,545,743,915,431,1998-12-27
236,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,71927,67263,48478,4004,10272,1442,2004,1998-09-05
237,USA,Raccoon_City,38.8333,-97.5333,259876,18979,11948,890,1845,1172,507,1998-05-22
238,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,1706943,147866,69089,11723,17459,15639,6846,1998-06-24
239,Russia,Siberia_Zone,61.0137,99.1967,14944,1777,865,160,334,149,117,1999-03-26
240,Japan,Tokyo,35.6895,139.6917,1662670,1561789,865947,139187,219256,214945,77630,1998-06-16
241,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,4051289,2866962,1555856,221929,223842,255289,120833,1998-12-20
242,USA,Illinois,-0.1071992535331094,-2.5699940756529567,142326,55340,31130,5526,4692,6752,1941,1998-05-27
243,Antarctica,Rockfort_Island,-67.6167,62.8667,1917581,1798124,1002901,20315,178035,136740,67570,1999-05-19
244,Australia,Sydney,-33.8688,151.2093,34967,18630,13418,585,1346,564,1015,1998-06-17
245,Australia,Sydney,-33.8688,151.2093,8030,6157,3026,500,520,288,1160,1998-10-14
246,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,3593,261,128,10,38,32,273,1999-01-26
